rank: 0; group_size: 1
423597 230099 8.60358e+09 1.48886e+11 
426424 232768 7.66265e+09 1.48937e+11 
429252 235454 6.72141e+09 1.48982e+11 
432080 238158 5.7799e+09 1.49022e+11 
434910 240880 4.83816e+09 1.49055e+11 
437740 243620 3.89623e+09 1.49083e+11 
440570 246377 2.95415e+09 1.49105e+11 
443401 249153 2.01195e+09 1.4912e+11 
446232 251946 1.06966e+09 1.4913e+11 
449064 254757 1.27338e+08 1.49134e+11 
451895 257586 -8.14992e+08 1.49132e+11 
454726 260432 -1.75729e+09 1.49124e+11 
457557 263297 -2.69952e+09 1.4911e+11 
460388 266179 -3.64164e+09 1.4909e+11 
463218 269080 -4.58361e+09 1.49064e+11 
466047 271998 -5.52541e+09 1.49032e+11 
468876 274934 -6.46698e+09 1.48995e+11 
471705 277887 -7.40829e+09 1.48951e+11 
474532 280859 -8.34931e+09 1.48901e+11 
477358 283848 -9.29e+09 1.48846e+11 
480183 286855 -1.02303e+10 1.48785e+11 
483007 289880 -1.11702e+10 1.48717e+11 
485830 292923 -1.21097e+10 1.48644e+11 
488651 295983 -1.30487e+10 1.48565e+11 
491471 299061 -1.39871e+10 1.4848e+11 
494289 302157 -1.49251e+10 1.48389e+11 
497105 305271 -1.58624e+10 1.48292e+11 
499919 308403 -1.67991e+10 1.48189e+11 
502732 311552 -1.77351e+10 1.4808e+11 
505542 314719 -1.86704e+10 1.47966e+11 
508350 317903 -1.96049e+10 1.47845e+11 
511155 321105 -2.05387e+10 1.47719e+11 
513958 324325 -2.14717e+10 1.47587e+11 
516759 327563 -2.24038e+10 1.47449e+11 
519557 330818 -2.3335e+10 1.47305e+11 
522352 334091 -2.42653e+10 1.47155e+11 
525144 337381 -2.51947e+10 1.46999e+11 
527933 340689 -2.6123e+10 1.46838e+11 
530719 344015 -2.70503e+10 1.4667e+11 
533502 347358 -2.79765e+10 1.46497e+11 
536282 350718 -2.89016e+10 1.46318e+11 
539058 354096 -2.98255e+10 1.46133e+11 
